
--- Page 1 ---
Text: Report                         | x: N/A | y: 29.55200000000002
Text: IDEA                           | x: N/A | y: 181.55200000000002
Text: -                              | x: N/A | y: 181.55200000000002
Text: Aesthetic                      | x: N/A | y: 181.55200000000002
Text: and                            | x: N/A | y: 181.55200000000002
Text: Interpretive                   | x: N/A | y: 181.55200000000002
Text: Analysis,                      | x: N/A | y: 181.55200000000002
Text: IDEA                           | x: N/A | y: 181.55200000000002
Text: -                              | x: N/A | y: 181.55200000000002
Text: Engagement                     | x: N/A | y: 181.55200000000002
Text: with                           | x: N/A | y: 181.55200000000002
Text: the                            | x: N/A | y: 181.55200000000002
Text: Human                          | x: N/A | y: 181.55200000000002
Text: Past,                          | x: N/A | y: 181.55200000000002
Text: IDEA                           | x: N/A | y: 181.55200000000002
Text: -                              | x: N/A | y: 181.55200000000002
Text: FY                             | x: N/A | y: 181.55200000000002
Text: -                              | x: N/A | y: 181.55200000000002
Text: First                          | x: N/A | y: 181.55200000000002
Text: Year                           | x: N/A | y: 181.55200000000002
Text: Seminar                        | x: N/A | y: 191.05200000000002
Text: WHO                            | x: N/A | y: 210.05200000000002
Text: CAN                            | x: N/A | y: 210.05200000000002
Text: ENROLL                         | x: N/A | y: 210.05200000000002
Text: IN                             | x: N/A | y: 210.05200000000002
Text: THIS                           | x: N/A | y: 210.05200000000002
Text: CLASS?                         | x: N/A | y: 210.05200000000002
Text: Seats                          | x: N/A | y: 219.55200000000002
Text: are                            | x: N/A | y: 219.55200000000002
Text: restricted                     | x: N/A | y: 219.55200000000002
Text: to                             | x: N/A | y: 219.55200000000002
Text: first-year                     | x: N/A | y: 219.55200000000002
Text: students                       | x: N/A | y: 219.55200000000002
Text: (and                           | x: N/A | y: 219.55200000000002
Text: transfer                       | x: N/A | y: 219.55200000000002
Text: students                       | x: N/A | y: 219.55200000000002
Text: in                             | x: N/A | y: 219.55200000000002
Text: their                          | x: N/A | y: 219.55200000000002
Text: first                          | x: N/A | y: 219.55200000000002
Text: year                           | x: N/A | y: 219.55200000000002
Text: at                             | x: N/A | y: 219.55200000000002
Text: UNC                            | x: N/A | y: 219.55200000000002
Text: who                            | x: N/A | y: 219.55200000000002
Text: completed                      | x: N/A | y: 219.55200000000002
Text: <24                            | x: N/A | y: 219.55200000000002
Text: hours                          | x: N/A | y: 219.55200000000002
Text: of                             | x: N/A | y: 219.55200000000002
Text: post-high                      | x: N/A | y: 219.55200000000002
Text: school                         | x: N/A | y: 219.55200000000002
Text: college                        | x: N/A | y: 219.55200000000002
Text: coursework                     | x: N/A | y: 219.55200000000002
Text: at                             | x: N/A | y: 229.05200000000002
Text: another                        | x: N/A | y: 229.05200000000002
Text: institution                    | x: N/A | y: 229.05200000000002
Text: before                         | x: N/A | y: 229.05200000000002
Text: their                          | x: N/A | y: 229.05200000000002
Text: first                          | x: N/A | y: 229.05200000000002
Text: semester                       | x: N/A | y: 229.05200000000002
Text: at                             | x: N/A | y: 229.05200000000002
Text: UNC).                          | x: N/A | y: 229.05200000000002
Text: If                             | x: N/A | y: 229.05200000000002
Text: you                            | x: N/A | y: 229.05200000000002
Text: are                            | x: N/A | y: 229.05200000000002
Text: a                              | x: N/A | y: 229.05200000000002
Text: transfer                       | x: N/A | y: 229.05200000000002
Text: student,                       | x: N/A | y: 229.05200000000002
Text: refer                          | x: N/A | y: 229.05200000000002
Text: to                             | x: N/A | y: 229.05200000000002
Text: the                            | x: N/A | y: 229.05200000000002
Text: UNC                            | x: N/A | y: 229.05200000000002
Text: Catalog                        | x: N/A | y: 229.05200000000002
Text: (https://catalog.unc.edu/undergraduate/ideas-in-action/#transferstudentstext) | x: N/A | y: 238.55200000000002
Text: for                            | x: N/A | y: 238.55200000000002
Text: additional                     | x: N/A | y: 238.55200000000002
Text: information.                   | x: N/A | y: 238.55200000000002
Text: Honors                         | x: N/A | y: 238.55200000000002
Text: first-year                     | x: N/A | y: 238.55200000000002
Text: students                       | x: N/A | y: 238.55200000000002
Text: may                            | x: N/A | y: 238.55200000000002
Text: not                            | x: N/A | y: 238.55200000000002
Text: enroll                         | x: N/A | y: 238.55200000000002
Text: in                             | x: N/A | y: 238.55200000000002
Text: this                           | x: N/A | y: 238.55200000000002
Text: class;                         | x: N/A | y: 248.05200000000002
Text: they                           | x: N/A | y: 248.05200000000002
Text: should                         | x: N/A | y: 248.05200000000002
Text: only                           | x: N/A | y: 248.05200000000002
Text: enroll                         | x: N/A | y: 248.05200000000002
Text: in                             | x: N/A | y: 248.05200000000002
Text: an                             | x: N/A | y: 248.05200000000002
Text: Honors                         | x: N/A | y: 248.05200000000002
Text: First-Year                     | x: N/A | y: 248.05200000000002
Text: Seminar                        | x: N/A | y: 248.05200000000002
Text: or                             | x: N/A | y: 248.05200000000002
Text: Honors                         | x: N/A | y: 248.05200000000002
Text: First-Year                     | x: N/A | y: 248.05200000000002
Text: Launch.                        | x: N/A | y: 248.05200000000002
Text: ENROLLMENT                     | x: N/A | y: 267.052
Text: PROCEDURES                     | x: N/A | y: 267.052
Text: Students                       | x: N/A | y: 276.552
Text: may                            | x: N/A | y: 276.552
Text: only                           | x: N/A | y: 276.552
Text: enroll                         | x: N/A | y: 276.552
Text: in                             | x: N/A | y: 276.552
Text: one                            | x: N/A | y: 276.552
Text: (1)                            | x: N/A | y: 276.552
Text: First-Year                     | x: N/A | y: 276.552
Text: Seminar                        | x: N/A | y: 276.552
Text: OR                             | x: N/A | y: 276.552
Text: (1)                            | x: N/A | y: 276.552
Text: First-Year                     | x: N/A | y: 276.552
Text: Launch                         | x: N/A | y: 276.552
Text: during                         | x: N/A | y: 276.552
Text: their                          | x: N/A | y: 276.552
Text: time                           | x: N/A | y: 276.552
Text: at                             | x: N/A | y: 276.552
Text: UNC.                           | x: N/A | y: 276.552
Text: Please                         | x: N/A | y: 276.552
Text: note                           | x: N/A | y: 276.552
Text: that                           | x: N/A | y: 276.552
Text: First-Year                     | x: N/A | y: 276.552
Text: Seminars                       | x: N/A | y: 276.552
Text: do                             | x: N/A | y: 276.552
Text: not                            | x: N/A | y: 276.552
Text: have                           | x: N/A | y: 276.552
Text: waitlists.                     | x: N/A | y: 286.052
Text: _____                          | x: N/A | y: 305.052
Text: _______________________________________________________________________________________________________________________________________________________ | x: N/A | y: 305.052
Text: AAAD                           | x: N/A | y: 314.552
Text: 53                             | x: N/A | y: 314.552
Text: 001                            | x: N/A | y: 314.552
Text: 13905                          | x: N/A | y: 314.552
Text: EXPERIMENT                     | x: N/A | y: 314.552
Text: GLOBAL                         | x: N/A | y: 314.552
Text: BLACK                          | x: N/A | y: 314.552
Text: MUSIC                          | x: N/A | y: 314.552
Text: Lecture                        | x: N/A | y: 314.552
Text: 3                              | x: N/A | y: 314.552
Text: A                              | x: N/A | y: 314.552
Text: (In                            | x: N/A | y: 324.052
Text: Person                         | x: N/A | y: 324.052
Text: On                             | x: N/A | y: 324.052
Text: Campus                         | x: N/A | y: 324.052
Text: Learners)                      | x: N/A | y: 324.052
Text: Bldg:                          | x: N/A | y: 333.552
Text: Global                         | x: N/A | y: 333.552
Text: Center                         | x: N/A | y: 333.552
Text: Room:                          | x: N/A | y: 333.552
Text: 3024                           | x: N/A | y: 333.552
Text: Days:                          | x: N/A | y: 333.552
Text: MW                             | x: N/A | y: 333.552
Text: Time:                          | x: N/A | y: 333.552
Text: 10:10                          | x: N/A | y: 333.552
Text: -                              | x: N/A | y: 333.552
Text: 11:25                          | x: N/A | y: 333.552
Text: INST                           | x: N/A | y: 343.052
Text: 100                            | x: N/A | y: 343.052
Text: Instructor:                    | x: N/A | y: 343.052
Text: PIER,DAVID                     | x: N/A | y: 343.052
Text: Class                          | x: N/A | y: 362.052
Text: Enrl                           | x: N/A | y: 362.052
Text: Cap:24                         | x: N/A | y: 362.052
Text: Class                          | x: N/A | y: 362.052
Text: Enrl                           | x: N/A | y: 362.052
Text: Tot:24                         | x: N/A | y: 362.052
Text: Class                          | x: N/A | y: 362.052
Text: Wait                           | x: N/A | y: 362.052
Text: Cap:0                          | x: N/A | y: 362.052
Text: Class                          | x: N/A | y: 362.052
Text: Wait                           | x: N/A | y: 362.052
Text: Tot:0                          | x: N/A | y: 362.052
Text: Class                          | x: N/A | y: 362.052
Text: Min                            | x: N/A | y: 362.052
Text: Enrl:0                         | x: N/A | y: 362.052
Text: GR1                            | x: N/A | y: 381.052
Text: Attributes:                    | x: N/A | y: 390.552
Text: VP-                            | x: N/A | y: 390.552
Text: Visual                         | x: N/A | y: 390.552
Text: or                             | x: N/A | y: 390.552
Text: Performing                     | x: N/A | y: 390.552
Text: Arts,                          | x: N/A | y: 390.552
Text: GL-                            | x: N/A | y: 390.552
Text: Global                         | x: N/A | y: 390.552
Text: Issues,                        | x: N/A | y: 390.552
Text: IDEA                           | x: N/A | y: 390.552
Text: -                              | x: N/A | y: 390.552
Text: Aesthetic                      | x: N/A | y: 390.552
Text: and                            | x: N/A | y: 390.552
Text: Interpretive                   | x: N/A | y: 390.552
Text: Analysis,                      | x: N/A | y: 390.552
Text: IDEA                           | x: N/A | y: 390.552
Text: -                              | x: N/A | y: 390.552
Text: FY                             | x: N/A | y: 390.552
Text: -                              | x: N/A | y: 390.552
Text: First                          | x: N/A | y: 390.552
Text: Year                           | x: N/A | y: 390.552
Text: Seminar                        | x: N/A | y: 390.552
Text: WHO                            | x: N/A | y: 409.552
Text: CAN                            | x: N/A | y: 409.552
Text: ENROLL                         | x: N/A | y: 409.552
Text: IN                             | x: N/A | y: 409.552
Text: THIS                           | x: N/A | y: 409.552
Text: CLASS?                         | x: N/A | y: 409.552
Text: Seats                          | x: N/A | y: 419.052
Text: are                            | x: N/A | y: 419.052
Text: restricted                     | x: N/A | y: 419.052
Text: to                             | x: N/A | y: 419.052
Text: first-year                     | x: N/A | y: 419.052
Text: students                       | x: N/A | y: 419.052
Text: (and                           | x: N/A | y: 419.052
Text: transfer                       | x: N/A | y: 419.052
Text: students                       | x: N/A | y: 419.052
Text: in                             | x: N/A | y: 419.052
Text: their                          | x: N/A | y: 419.052
Text: first                          | x: N/A | y: 419.052
Text: year                           | x: N/A | y: 419.052
Text: at                             | x: N/A | y: 419.052
Text: UNC                            | x: N/A | y: 419.052
Text: who                            | x: N/A | y: 419.052
Text: completed                      | x: N/A | y: 419.052
Text: <24                            | x: N/A | y: 419.052
Text: hours                          | x: N/A | y: 419.052
Text: of                             | x: N/A | y: 419.052
Text: post-high                      | x: N/A | y: 419.052
Text: school                         | x: N/A | y: 419.052
Text: college                        | x: N/A | y: 419.052
Text: coursework                     | x: N/A | y: 419.052
Text: at                             | x: N/A | y: 428.552
Text: another                        | x: N/A | y: 428.552
Text: institution                    | x: N/A | y: 428.552
Text: before                         | x: N/A | y: 428.552
Text: their                          | x: N/A | y: 428.552
Text: first                          | x: N/A | y: 428.552
Text: semester                       | x: N/A | y: 428.552
Text: at                             | x: N/A | y: 428.552
Text: UNC).                          | x: N/A | y: 428.552
Text: If                             | x: N/A | y: 428.552
Text: you                            | x: N/A | y: 428.552
Text: are                            | x: N/A | y: 428.552
Text: a                              | x: N/A | y: 428.552
Text: transfer                       | x: N/A | y: 428.552
Text: student,                       | x: N/A | y: 428.552
Text: refer                          | x: N/A | y: 428.552
Text: to                             | x: N/A | y: 428.552
Text: the                            | x: N/A | y: 428.552
Text: UNC                            | x: N/A | y: 428.552
Text: Catalog                        | x: N/A | y: 428.552
Text: (https://catalog.unc.edu/undergraduate/ideas-in-action/#transferstudentstext) | x: N/A | y: 438.052
Text: for                            | x: N/A | y: 438.052
Text: additional                     | x: N/A | y: 438.052
Text: information.                   | x: N/A | y: 438.052
Text: Honors                         | x: N/A | y: 438.052
Text: first-year                     | x: N/A | y: 438.052
Text: students                       | x: N/A | y: 438.052
Text: may                            | x: N/A | y: 438.052
Text: not                            | x: N/A | y: 438.052
Text: enroll                         | x: N/A | y: 438.052
Text: in                             | x: N/A | y: 438.052
Text: this                           | x: N/A | y: 438.052
Text: class;                         | x: N/A | y: 447.552
Text: they                           | x: N/A | y: 447.552
Text: should                         | x: N/A | y: 447.552
Text: only                           | x: N/A | y: 447.552
Text: enroll                         | x: N/A | y: 447.552
Text: in                             | x: N/A | y: 447.552
Text: an                             | x: N/A | y: 447.552
Text: Honors                         | x: N/A | y: 447.552
Text: First-Year                     | x: N/A | y: 447.552
Text: Seminar                        | x: N/A | y: 447.552
Text: or                             | x: N/A | y: 447.552
Text: Honors                         | x: N/A | y: 447.552
Text: First-Year                     | x: N/A | y: 447.552
Text: Launch.                        | x: N/A | y: 447.552
Text: ENROLLMENT                     | x: N/A | y: 466.552
Text: PROCEDURES                     | x: N/A | y: 466.552
Text: Students                       | x: N/A | y: 476.052
Text: may                            | x: N/A | y: 476.052
Text: only                           | x: N/A | y: 476.052
Text: enroll                         | x: N/A | y: 476.052
Text: in                             | x: N/A | y: 476.052
Text: one                            | x: N/A | y: 476.052
Text: (1)                            | x: N/A | y: 476.052
Text: First-Year                     | x: N/A | y: 476.052
Text: Seminar                        | x: N/A | y: 476.052
Text: OR                             | x: N/A | y: 476.052
Text: (1)                            | x: N/A | y: 476.052
Text: First-Year                     | x: N/A | y: 476.052
Text: Launch                         | x: N/A | y: 476.052
Text: during                         | x: N/A | y: 476.052
Text: their                          | x: N/A | y: 476.052
Text: time                           | x: N/A | y: 476.052
Text: at                             | x: N/A | y: 476.052
Text: UNC.                           | x: N/A | y: 476.052
Text: Please                         | x: N/A | y: 476.052
Text: note                           | x: N/A | y: 476.052
Text: that                           | x: N/A | y: 476.052
Text: First-Year                     | x: N/A | y: 476.052
Text: Seminars                       | x: N/A | y: 476.052
Text: do                             | x: N/A | y: 476.052
Text: not                            | x: N/A | y: 476.052
Text: have                           | x: N/A | y: 476.052
Text: waitlists.                     | x: N/A | y: 485.552
Text: _____                          | x: N/A | y: 504.552
Text: _______________________________________________________________________________________________________________________________________________________ | x: N/A | y: 504.552

--- Page 2 ---
Text: FIRST-YEAR                     | x: N/A | y: 39.05200000000002
Text: LAUNCH                         | x: N/A | y: 39.05200000000002
Text: SECTION                        | x: N/A | y: 39.05200000000002
Text: This                           | x: N/A | y: 58.05200000000002
Text: course                         | x: N/A | y: 58.05200000000002
Text: is                             | x: N/A | y: 58.05200000000002
Text: reserved                       | x: N/A | y: 58.05200000000002
Text: for                            | x: N/A | y: 58.05200000000002
Text: COMM                           | x: N/A | y: 58.05200000000002
Text: majors                         | x: N/A | y: 58.05200000000002
Text: for                            | x: N/A | y: 58.05200000000002
Text: the                            | x: N/A | y: 58.05200000000002
Text: first                          | x: N/A | y: 58.05200000000002
Text: two                            | x: N/A | y: 58.05200000000002
Text: weeks                          | x: N/A | y: 58.05200000000002
Text: of                             | x: N/A | y: 58.05200000000002
Text: registration.                  | x: N/A | y: 58.05200000000002
Text: Nonmajors                      | x: N/A | y: 58.05200000000002
Text: can                            | x: N/A | y: 58.05200000000002
Text: begin                          | x: N/A | y: 58.05200000000002
Text: enrolling                      | x: N/A | y: 58.05200000000002
Text: on                             | x: N/A | y: 58.05200000000002
Text: November                       | x: N/A | y: 58.05200000000002
Text: 19th.                          | x: N/A | y: 58.05200000000002
Text: This                           | x: N/A | y: 77.05200000000002
Text: course                         | x: N/A | y: 77.05200000000002
Text: is                             | x: N/A | y: 77.05200000000002
Text: cross                          | x: N/A | y: 77.05200000000002
Text: listed.                        | x: N/A | y: 77.05200000000002
Text: If                             | x: N/A | y: 77.05200000000002
Text: you                            | x: N/A | y: 77.05200000000002
Text: are                            | x: N/A | y: 77.05200000000002
Text: a                              | x: N/A | y: 77.05200000000002
Text: MNGT                           | x: N/A | y: 77.05200000000002
Text: major,                         | x: N/A | y: 77.05200000000002
Text: please                         | x: N/A | y: 77.05200000000002
Text: enroll                         | x: N/A | y: 77.05200000000002
Text: in                             | x: N/A | y: 77.05200000000002
Text: the                            | x: N/A | y: 77.05200000000002
Text: MNGT                           | x: N/A | y: 77.05200000000002
Text: 120                            | x: N/A | y: 77.05200000000002
Text: section.                       | x: N/A | y: 77.05200000000002
Text: If                             | x: N/A | y: 77.05200000000002
Text: that                           | x: N/A | y: 77.05200000000002
Text: section                        | x: N/A | y: 77.05200000000002
Text: is                             | x: N/A | y: 77.05200000000002
Text: not                            | x: N/A | y: 77.05200000000002
Text: open,                          | x: N/A | y: 77.05200000000002
Text: join                           | x: N/A | y: 77.05200000000002
Text: the                            | x: N/A | y: 77.05200000000002
Text: COMM                           | x: N/A | y: 77.05200000000002
Text: 120                            | x: N/A | y: 77.05200000000002
Text: waitlist                       | x: N/A | y: 77.05200000000002
Text: or                             | x: N/A | y: 77.05200000000002
Text: wait                           | x: N/A | y: 77.05200000000002
Text: until                          | x: N/A | y: 86.55200000000002
Text: November                       | x: N/A | y: 86.55200000000002
Text: 19th                           | x: N/A | y: 86.55200000000002
Text: to                             | x: N/A | y: 86.55200000000002
Text: register.                      | x: N/A | y: 86.55200000000002
Text: WHO                            | x: N/A | y: 105.55200000000002
Text: CAN                            | x: N/A | y: 105.55200000000002
Text: ENROLL                         | x: N/A | y: 105.55200000000002
Text: IN                             | x: N/A | y: 105.55200000000002
Text: THIS                           | x: N/A | y: 105.55200000000002
Text: CLASS?                         | x: N/A | y: 105.55200000000002
Text: Seats                          | x: N/A | y: 115.05200000000002
Text: are                            | x: N/A | y: 115.05200000000002
Text: restricted                     | x: N/A | y: 115.05200000000002
Text: to                             | x: N/A | y: 115.05200000000002
Text: first-year                     | x: N/A | y: 115.05200000000002
Text: students                       | x: N/A | y: 115.05200000000002
Text: (and                           | x: N/A | y: 115.05200000000002
Text: transfer                       | x: N/A | y: 115.05200000000002
Text: students                       | x: N/A | y: 115.05200000000002
Text: in                             | x: N/A | y: 115.05200000000002
Text: their                          | x: N/A | y: 115.05200000000002
Text: first                          | x: N/A | y: 115.05200000000002
Text: year                           | x: N/A | y: 115.05200000000002
Text: at                             | x: N/A | y: 115.05200000000002
Text: UNC                            | x: N/A | y: 115.05200000000002
Text: who                            | x: N/A | y: 115.05200000000002
Text: completed                      | x: N/A | y: 115.05200000000002
Text: <24                            | x: N/A | y: 115.05200000000002
Text: hours                          | x: N/A | y: 115.05200000000002
Text: of                             | x: N/A | y: 115.05200000000002
Text: post-high                      | x: N/A | y: 115.05200000000002
Text: school                         | x: N/A | y: 115.05200000000002
Text: college                        | x: N/A | y: 115.05200000000002
Text: coursework                     | x: N/A | y: 115.05200000000002
Text: at                             | x: N/A | y: 124.55200000000002
Text: another                        | x: N/A | y: 124.55200000000002
Text: institution                    | x: N/A | y: 124.55200000000002
Text: before                         | x: N/A | y: 124.55200000000002
Text: their                          | x: N/A | y: 124.55200000000002
Text: first                          | x: N/A | y: 124.55200000000002
Text: semester                       | x: N/A | y: 124.55200000000002
Text: at                             | x: N/A | y: 124.55200000000002
Text: UNC).                          | x: N/A | y: 124.55200000000002
Text: If                             | x: N/A | y: 124.55200000000002
Text: you                            | x: N/A | y: 124.55200000000002
Text: are                            | x: N/A | y: 124.55200000000002
Text: a                              | x: N/A | y: 124.55200000000002
Text: transfer                       | x: N/A | y: 124.55200000000002
Text: student,                       | x: N/A | y: 124.55200000000002
Text: refer                          | x: N/A | y: 124.55200000000002
Text: to                             | x: N/A | y: 124.55200000000002
Text: the                            | x: N/A | y: 124.55200000000002
Text: UNC                            | x: N/A | y: 124.55200000000002
Text: Catalog                        | x: N/A | y: 124.55200000000002
Text: ____________________________________________________________________________________________________________ | x: N/A | y: 134.05200000000002
Text: ________________________________________________ | x: N/A | y: 134.05200000000002
Text: COMM                           | x: N/A | y: 143.55200000000002
Text: 130                            | x: N/A | y: 143.55200000000002
Text: 001                            | x: N/A | y: 143.55200000000002
Text: 2205                           | x: N/A | y: 143.55200000000002
Text: INTRO                          | x: N/A | y: 143.55200000000002
Text: MEDIA                          | x: N/A | y: 143.55200000000002
Text: PROD                           | x: N/A | y: 143.55200000000002
Text: Lecture                        | x: N/A | y: 143.55200000000002
Text: 3                              | x: N/A | y: 143.55200000000002
Text: A                              | x: N/A | y: 143.55200000000002
Text: (In                            | x: N/A | y: 153.05200000000002
Text: Person                         | x: N/A | y: 153.05200000000002
Text: On                             | x: N/A | y: 153.05200000000002
Text: Campus                         | x: N/A | y: 153.05200000000002
Text: Learners)                      | x: N/A | y: 153.05200000000002
Text: Bldg:                          | x: N/A | y: 162.55200000000002
Text: Communication                  | x: N/A | y: 162.55200000000002
Text: MediaR                         | x: N/A | y: 162.55200000000002
Text: oom:                           | x: N/A | y: 162.55200000000002
Text: 0112                           | x: N/A | y: 162.55200000000002
Text: Days:                          | x: N/A | y: 162.55200000000002
Text: M                              | x: N/A | y: 162.55200000000002
Text: Time:                          | x: N/A | y: 162.55200000000002
Text: 12:20                          | x: N/A | y: 162.55200000000002
Text: -                              | x: N/A | y: 162.55200000000002
Text: 14:00                          | x: N/A | y: 162.55200000000002
Text: INST                           | x: N/A | y: 172.05200000000002
Text: 100                            | x: N/A | y: 172.05200000000002
Text: Instructor:                    | x: N/A | y: 172.05200000000002
Text: BROWN,WILLIAM                  | x: N/A | y: 172.05200000000002
Text: ARTHUR                         | x: N/A | y: 172.05200000000002
Text: INST                           | x: N/A | y: 191.05200000000002
Text: 100                            | x: N/A | y: 191.05200000000002
Text: Instructor:                    | x: N/A | y: 191.05200000000002
Text: Ghim,Eunjin                    | x: N/A | y: 191.05200000000002
Text: INST                           | x: N/A | y: 210.05200000000002
Text: 100                            | x: N/A | y: 210.05200000000002
Text: Instructor:                    | x: N/A | y: 210.05200000000002
Text: Sanders                        | x: N/A | y: 210.05200000000002
Text: Taboada,Vanessa                | x: N/A | y: 210.05200000000002
Text: Class                          | x: N/A | y: 229.05200000000002
Text: Enrl                           | x: N/A | y: 229.05200000000002
Text: Cap:56                         | x: N/A | y: 229.05200000000002
Text: Class                          | x: N/A | y: 229.05200000000002
Text: Enrl                           | x: N/A | y: 229.05200000000002
Text: Tot:56                         | x: N/A | y: 229.05200000000002
Text: Class                          | x: N/A | y: 229.05200000000002
Text: Wait                           | x: N/A | y: 229.05200000000002
Text: Cap:999                        | x: N/A | y: 229.05200000000002
Text: Class                          | x: N/A | y: 229.05200000000002
