Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor
AAAD,320,001,13689,INTRODUCTION TO AFRICAN MUSIC,3,TuTh,12:30 - 13:45,Venable Hall RBuilding,G311,"PIER,DAVID"
AAAD,330,001,10291,20TH C AFRI AM ART,3,MWF,12:20 - 13:10,Hanes Art Center RBuilding,0117,"BOWLES,JOHN PARISH"
AAAD,340,001,14645,DIASPORA ART,3,TuTh,12:30 - 13:45,Stone Center RBuilding,0210,"JORDAN,JOSEPH F"
AAAD,356,001,11309,HISTORY OF HIP-HOP,3,TuTh,15:30 - 16:45,Phillips Hall RBuilding,0247,"Massenburg,Christopher Dion"
AAAD,389,001,10190,CARIBBEAN ANTICOLONIAL LIT,3,TuTh,11:00 - 12:15,Phillips Hall RBuilding,0328,"Samuel,Petal KImberly"
AAAD,391,001,10274,HUM. DEV. & SUSTAINABILITY,3,TuTh,11:00 - 12:15,Stone Center RBuilding,0209,"Hudani,Shakirah"
AAAD,392,001,13690,STRUGGLES TO SHAPE THE CITY,3,MW,13:25 - 14:40,Phillips Hall RBuilding,0328,"Hudani,Shakirah"
AAAD,395,001,7217,RESEARCH SEMINAR,3,TuTh,09:30 - 10:45,Murphey Hall RBuilding,0105,"SAHLE,EUNICE N"
AAAD,403,001,13691,HUMAN RIGHTS IN AFRICA,3,TuTh,11:00 - 12:15,Murphey Hall RBuilding,0314,"SAHLE,EUNICE N"
AAAD,421,001,8197,LANGUAGES OF AFRICA,3,MW,15:35 - 16:50,Dey Hall RBuilding,0210,"Mwamzandi,Mohamed Yusuf"
AAAD,430,001,13692,AFRI AMER INTELLECTUAL HIST,3,TuTh,08:00 - 09:15,Hanes Art Center RBuilding,0116,"JANKEN,KENNETH R"
AAAD,466,001,12053,RACE/GENDER ATLANTIC WORLD,3,Tu,15:30 - 18:00,Murphey Hall RBuilding,0302,"Monroe,Alicia Lenis"
AAAD,490,001,13693,COLLOQUIUM IN AAAD STUDIES,3,TuTh,11:00 - 12:15,Hanes Art Center RBuilding,0118,"Brimmer,Brandi Clay"
SWAH,401,001,4262,ELEM KISWAHILI I,3,MWF,10:10 - 11:00,Genome Sciences Building RBuilding,1370,"Birya,Raphael Kalu"
SWAH,401,002,7568,ELEM KISWAHILI I,3,MWF,12:20 - 13:10,Genome Sciences Building RBuilding,1377,"Mwamzandi,Mohamed Yusuf"
SWAH,403,001,4263,INTERMED KISWAHILI III,3,MWF,12:20 - 13:10,Phillips Hall RBuilding,0220,"Birya,Raphael Kalu"
SWAH,403,002,4313,INTERMED KISWAHILI III,3,MWF,10:10 - 11:00,Mitchell Hall RBuilding,121A,"Mwamzandi,Mohamed Yusuf"
SWAH,405,001,7608,KISWAHILI V,3,MWF,09:05 - 09:55,Graham Memorial RBuilding,0210,"Mwamzandi,Mohamed Yusuf"
WOLO,401,001,8198,ELEM WOLOF I,3,MWF,09:05 - 09:55,Genome Sciences Building RBuilding,1370,"Camara,Samba"
YORU,403,001,12814,INTERMEDIATE YORUBA III,3,TBA,TBA,TBA RBuilding,TBA,Staff
AERO,101,001,3822,HERITAGE AND VALUES OF USAF,1,TBA,TBA,TBA RBuilding,TBA,Staff
AERO,196,003,3826,INDEPENDENT STUDY,1,TBA,TBA,TBA RBuilding,TBA,Staff
AERO,201,001,3827,LEADERSHIP FUNDAMENTALS,1,TBA,TBA,TBA RBuilding,TBA,Staff
AERO,213,001,10142,AIR POWER,3,MWF,14:30 - 15:20,Davie Hall RBuilding,0112,"CADDELL,JOSEPH W"
AERO,301,001,11855,LDRSHP & EFFECTIVE COMM,3,TBA,TBA,TBA RBuilding,TBA,Staff
AERO,393,001,11069,FIELD TRAINING,1,TBA,TBA,TBA RBuilding,TBA,Staff
AERO,402,001,11286,AF OFF CON AMER SOC,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,60,001,14581,"FYS: INDIAN HIST, LAW, LIT",3,MWF,10:10 - 11:00,Greenlaw Hall RBuilding,0317,"COBB,DANIEL M"
AMST,101,001,10156,"THIS PLACE CALLED ""AMERICA""",3,MW,12:20 - 13:10,Genome Sciences Building RBuilding,G200,"SAWIN,PATRICIA E"
AMST,101,603,10159,"THIS PLACE CALLED ""AMERICA"" Recitation 3 A (In Person On Campus Learners)",3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,110,607,8149,NATIVE NORTH AMERICA Recitation 3 A (In Person On Campus Learners),3,F,13:25 - 14:15,Peabody Hall RBuilding,3018,Staff
AMST,211,001,12122,SOUTHERN STUDIES LITCULT,3,TuTh,14:00 - 15:15,TBA RBuilding,TBA,Staff
AMST,251,001,14889,JEWISH AM EXPERIENCE,3,TuTh,12:30 - 13:45,Dey Hall RBuilding,0203,"Katz,Emily"
AMST,255,001,12145,DIFFER & POWER AMER CULTURE,3,MW,13:25 - 14:15,Gardner Hall RBuilding,0008,"HOLLAND,SHARON PATRICIA"
AMST,255,603,14763,DIFFER & POWER AMER CULTURE Recitation 3 A (In Person On Campus Learners),3,F,13:25 - 14:15,Murray Hall RBuilding,G201,Staff
AMST,353,001,12588,SOUTHEAST ASIAN NC,3,MWF,10:10 - 11:00,Phillips Hall RBuilding,0224,"BUTLER,BECKY A"
AMST,375,001,12131,CRIT FOOD STUDIES: SOUTH,3,TuTh,12:30 - 13:45,Greenlaw Hall RBuilding,0318,"Alexander,Kelly"
AMST,396,001,8232,INDEP STDY AMST,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,396,002,9894,INDEP STDY AMST,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,396,003,9915,INDEP STDY AMST,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,483,001,14423,VISUAL ARTS AND CULTURE,3,Tu,15:35 - 18:35,Dey Hall RBuilding,0402,"ROBINSON,MIRIAM MICHELLE"
AMST,493,001,8233,INTERNSHIP,1,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,700,001,10153,HISTORY & PRACTICE AMST,3,W,15:30 - 18:30,Murphey Hall RBuilding,0117,"ROBINSON,MIRIAM MICHELLE"
AMST,820,001,14606,CRITICAL ETHNIC STUDIES (CES),3,M,15:35 - 18:35,Murphey Hall RBuilding,0117,"HOLLAND,SHARON PATRICIA"
AMST,878,001,12132,NATIVE AMERICAN READINGS,3,Th,18:00 - 20:30,Hamilton Hall RBuilding,0570,"Escobar,Raquel Lynn"
AMST,895,001,7388,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,895,002,7389,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,895,003,8516,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,895,004,11510,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,895,005,11511,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,895,006,11512,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,895,007,11513,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,895,008,11514,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,895,009,11515,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,895,010,11516,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,901,001,7329,MA RESEARCH SEMINAR,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,901,002,8739,MA RESEARCH SEMINAR,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,903,001,10154,COMPEXAMS AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,993,001,8736,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,"Berlinger,Gabrielle Anna"
AMST,993,002,8737,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,"HINSON,GLENN D"
AMST,993,003,8738,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,"SAWIN,PATRICIA E"
AMST,994,001,7557,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Berlinger,Gabrielle Anna"
AMST,994,002,7558,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"COBB,DANIEL M"
AMST,994,003,7559,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Engelhardt,Elizabeth Sanders"
AMST,994,004,7560,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"HOLLAND,SHARON PATRICIA"
AMST,994,005,7621,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Kelley,Blair Lynne Murphy"
AMST,994,006,7991,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"Kotch,Seth M."
AMST,994,007,7992,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"MARR,TIMOTHY W"
AMST,994,008,8465,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,"ROBINSON,MIRIAM MICHELLE"
AMST,994,009,9263,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,994,010,14419,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA RBuilding,TBA,Staff
FOLK,89,001,14588,FYS: SPECIAL TOPICS,3,TuTh,14:00 - 15:15 TBA,Genome Sciences Building RBuilding,1377,Staff
FOLK,202,001,12134,EVERYDAY CULTURES,3,MW,13:25 - 14:15,"Global Education, FReBuilding",1015,Staff
FOLK,202,603,12137,EVERYDAY CULTURES Recitation 3 A (In Person On Campus Learners),4,F,13:25 - 14:15,Greenlaw Hall RBuilding,0319,Staff
FOLK,481,001,14613,JEWISH MATERIAL CULTURE,3,TuTh,12:30 - 13:45,Mitchell Hall RBuilding,0009,"Berlinger,Gabrielle Anna"
FOLK,496,001,12685,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
FOLK,502,001,13527,MYTHS/ANCI N EAST,3,TuTh,09:30 - 10:45,Hanes Art Center RBuilding,0215,"LAM,JOSEPH C"
FOLK,790,001,14425,PUBLIC FOLKLORE,3,TuTh,14:00 - 15:15,New East RBuilding,0305,"HINSON,GLENN D"
FOLK,850,001,14424,FOLKLORE THEORY,3,Tu,15:35 - 18:35,Mitchell Hall RBuilding,0106,"Berlinger,Gabrielle Anna"
FOLK,895,001,8470,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
FOLK,895,002,8471,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
FOLK,900,001,9723,DIRECTED STUDIES,0,TBA,TBA,TBA RBuilding,TBA,Staff
FOLK,993,001,5902,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,"HINSON,GLENN D"
FOLK,993,002,5898,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA RBuilding,TBA,"SAWIN,PATRICIA E"
ANTH,62,001,8542,FYS INDIAN COUNTRY TODAY,3,MWF,11:15 - 12:05,Alumni Bldg RBuilding,0205,"LAMBERT,VALERIE L"
ANTH,67,001,13460,BLACKNESS AND RACIALIZATION,3,MWF,14:30 - 15:20,Alumni Bldg RBuilding,0205,"PRICE,CHARLES R"
ANTH,89,001,10660,FYS: SPECIAL TOPICS,3,TuTh,12:30 - 13:45 ANTHROPOLOGY OF MOVI,Alumni Bldg RBuilding,0205,"NELSON,CHRISTOPHER T"
ANTH,89,002,13464,FYS: SPECIAL TOPICS,3,TuTh,09:30 - 10:45 ARCHAEOLOGY OF POP C,Alumni Bldg RBuilding,0205,"Smit,Douglas Karel"
ANTH,101,006,3961,GEN ANTHROPOLOGY,3,MWF,13:25 - 14:15,Manning Hall RBuilding,0209,"AGBE-DAVIES,ANNA SOPHIA"
ANTH,101,608,3969,GEN ANTHROPOLOGY Recitation 3 A (In Person On Campus Learners),3,F,11:15 - 12:05,TBA RBuilding,TBA,Staff
ANTH,145,615,10653,WORLD PREHISTORY Recitation 3 A (In Person On Campus Learners),3,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,147,610,13557,COMP HEALING SYSTEM Recitation 3 A,3,F,10:10 - 11:00,Alumni Bldg RBuilding,0205,Staff
ANTH,148,603,4008,HUMAN ORIGINS Recitation 3 A (In Person On Campus Learners),1,F,10:10 - 11:00,Alumni Bldg RBuilding,0404,Staff
ANTH,195,089,9922,RES IN ANTH I,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,202,001,12475,EVERYDAY CULTURES,3,MW,13:25 - 14:15,"Global Education, FReBuilding",1015,Staff
ANTH,202,604,12479,EVERYDAY CULTURES Recitation 3 A (In Person On Campus Learners),3,F,14:30 - 15:20,Davie Hall RBuilding,0101,Staff
ANTH,231,001,13455,INCA AND THEIR ANCESTORS,3,MWF,14:30 - 15:20,Chapman Hall RBuilding,0201,"BILLMAN,BRIAN R"
ANTH,232,001,11717,ANCESTRAL MAYA CIV,3,TuTh,11:00 - 12:15,Genome Sciences Building RBuilding,1373,"MCANANY,PATRICIA A"
ANTH,250,001,11719,ARCHAEOLOGY OF NORTH AMERICA,3,MWF,12:20 - 13:10,Chapman Hall RBuilding,0211,"STEPONAITIS,VINCAS P"
ANTH,252,001,8264,ARCHAEOLOGY OF FOOD,3,TuTh,12:30 - 13:45,Alumni Bldg RBuilding,0207,"Briggs,Rachel Virginia"
ANTH,270,006,8834,LIVING MEDICINE,3,MWF,13:25 - 14:15,Chapman Hall RBuilding,0201,"KING,MARTHA E"
ANTH,270,605,13582,LIVING MEDICINE Recitation 3 A,3,M,12:20 - 13:10,Alumni Bldg RBuilding,0203,Staff
ANTH,280,001,13456,ANTH OF WAR AND PEACE,3,MWF,09:05 - 09:55,"Global Education, FReBuilding",1015,"CHUA,JOCELYN LIM"
ANTH,280,605,13516,ANTH OF WAR AND PEACE Recitation 3 A,3,W,15:35 - 16:25,Alumni Bldg RBuilding,0203,Staff
ANTH,295,001,9895,RES IN ANTH II,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,295,036,9277,RES IN ANTH II,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,296,001,11616,IND STUDY ANTH II,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,315,001,7562,HUMAN GENETICS,3,TuTh,12:30 - 13:45,Alumni Bldg RBuilding,0203,"Hilton,Charles Edward"
ANTH,318,001,10087,HUM GROWTH DEVELOP,3,TuTh,14:00 - 15:15,Manning Hall RBuilding,0209,"SORENSEN,MARK V"
ANTH,318,609,13571,HUM GROWTH DEVELOP Recitation 3 A,3,Tu,17:00 - 17:50,Alumni Bldg RBuilding,0308,Staff
ANTH,360,001,13458,LATIN AM ECON AND SOC,3,TuTh,14:00 - 15:15,Hanes Hall RBuilding,0112,"COLLOREDO-MANSFELD,RUDOLF J"
ANTH,361,001,10659,COMMUNITY IN INDIA AND S. ASIA,3,TuTh,14:00 - 15:15,Alumni Bldg RBuilding,0207,"MIDDLETON,CHRISTOPHER TOWNSEND"
ANTH,370,001,10088,DESCENDANTS PROJECT,4,TuTh,11:00 - 12:15,Alumni Bldg RBuilding,0203,"HINSON,GLENN D"
ANTH,375,001,13467,MEMORY IN SE ASIA,3,TuTh,11:00 - 12:15,Mitchell Hall RBuilding,121A,"WIENER,MARGARET J"
ANTH,390,001,11771,SPECIAL TOPICS: MEDICAL ANTH,3,MWF,11:15 - 12:05 Anth of Fitness Cult,Phillips Hall RBuilding,0220,"Curtin,Emily Jeanne"
ANTH,390,002,11772,SPECIAL TOPICS: MEDICAL ANTH,3,MWF,"14:30 - 15:20 Gender, Sexuality, &",Greenlaw Hall RBuilding,0317,"Curtin,Emily Jeanne"
ANTH,390,003,13447,SPECIAL TOPICS: MEDICAL ANTH,3,TuTh,14:00 - 15:15 Bodies Under Capital,Alumni Bldg RBuilding,0205,"Curtin,Emily Jeanne"
ANTH,390,004,13448,SPECIAL TOPICS: MEDICAL ANTH,3,TuTh,15:30 - 16:45,Dey Hall RBuilding,0209,Staff
ANTH,390,005,13449,SPECIAL TOPICS: MEDICAL ANTH,3,TuTh,12:30 - 13:45,Phillips Hall RBuilding,0220,Staff
ANTH,390,006,13450,SPECIAL TOPICS: MEDICAL ANTH,3,MW,15:35 - 16:50,Mitchell Hall RBuilding,121A,Staff
ANTH,390,007,13451,SPECIAL TOPICS: MEDICAL ANTH,3,TuTh,11:00 - 12:15,Murphey Hall RBuilding,0302,Class Enrl Cap:24 Class Enrl Tot:0 Class Wait Cap:0 Class Wait Tot:0 Class Min Enrl:0
ANTH,393,001,11565,ANTH INTERNSHIP,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,393,073,9764,ANTH INTERNSHIP,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,395,001,11310,RESEARCH IN ANTHROPOLOGY,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,395,036,11535,RESEARCH IN ANTHROPOLOGY,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,395,082,10526,RESEARCH IN ANTHROPOLOGY,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,395,089,11617,RESEARCH IN ANTHROPOLOGY,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,001,9107,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,036,12836,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,040,7702,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,042,9354,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,058,8795,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,073,9301,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,078,9345,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,081,10370,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,405,001,13457,"MENTAL HEALTH, PSYCH & CULTURE",3,MWF,12:20 - 13:10,Gardner Hall RBuilding,0001,"CHUA,JOCELYN LIM"
ANTH,406,001,7120,NATIVE WRITERS,3,MWF,12:20 - 13:10,Alumni Bldg RBuilding,0205,"LAMBERT,VALERIE L"
ANTH,409,001,14888,CURATING THINGS,3,TuTh,12:30 - 13:45,Alumni Bldg RBuilding,0404,"Fitts,Mary Elizabeth"
ANTH,414,001,11715,LAB METH: HUMAN OSTEO,3,MW,14:30 - 15:45,Alumni Bldg RBuilding,0404,"Hilton,Charles Edward"
ANTH,419,001,13465,ANTHROPOLOGICAL GIS,3,TuTh,09:30 - 10:45,Greenlaw Hall RBuilding,0319,"WEST,COLIN THOR"
ANTH,448,001,8636,"HEALTH & MEDICINE, AMER SOUTH",3,MWF,11:15 - 12:05,Woollen Gym RBuilding,0304,"KING,MARTHA E"
ANTH,471,001,13466,MATERNAL AND CHILD HEALTH,3,TuTh,15:30 - 16:45,Gardner Hall RBuilding,0001,"THOMPSON,AMANDA LOGAN"
ANTH,490,001,8829,UNDERGRAD SEMINAR ANTHRO,3,MWF,12:20 - 13:10 Systems Thinking & C,Mitchell Hall RBuilding,0009,"PRICE,CHARLES R"
ANTH,520,001,7506,LING PHONETICS,3,MWF,12:20 - 13:10,Dey Hall RBuilding,0304,"MORETON,ALFRED E"
ANTH,540,001,13468,ECOCRISES/CULTURAL TRANSITIONS,3,TuTh,14:00 - 15:15,Alumni Bldg RBuilding,0203,"WIENER,MARGARET J"
ANTH,541,001,8225,SOCIOLINGUISTICS,3,MWF,13:25 - 14:15,Dey Hall RBuilding,0304,"MORA-MARIN,DAVID F"
ANTH,582,001,13462,FIELDWORK MED ANTH,3,TuTh,12:30 - 13:45,Dey Hall RBuilding,0306,"RIVKIN-FISH,MICHELE R"
ANTH,590,001,14750,TOPICS IN ANTH I,3,TuTh,14:00 - 15:15,Alumni Bldg RBuilding,0404,"MARCOUX,JON B"
ANTH,674,001,13459,ISSUES IN CULTURAL HERITAGE,3,TuTh,15:30 - 16:45,Alumni Bldg RBuilding,0205,"MCANANY,PATRICIA A"
ANTH,701,001,6470,THEORY AND ETHNOGRAPHY,3,Tu,09:30 - 12:00,Alumni Bldg RBuilding,0308,"Smit,Douglas Karel"
ANTH,714,001,10661,ISSUES-PARTICIPATORY RESEARCH,1,W,17:45 - 20:15,McGavran-Greenberg RHBuilding,1304,"Stuesse,Angela Christine"
ANTH,850,001,13469,ENGAGING ETHNOGRAPHY,3,W,12:20 - 14:50,Greenlaw Hall RBuilding,526A,"Stuesse,Angela Christine"
ANTH,897,003,11710,SEM: SELECTED TOPICS,1,W,15:30 - 18:00,Alumni Bldg RBuilding,0205,"NELSON,CHRISTOPHER T"
ANTH,897,004,11711,SEM: SELECTED TOPICS,1,M,15:30 - 18:00 Professionalization,Alumni Bldg RBuilding,0205,"MIDDLETON,CHRISTOPHER TOWNSEND"
ANTH,898,001,11708,SEM: SELECTED TOPICS,1,Th,09:30 - 12:00 Biomarkers,Alumni Bldg RBuilding,0308,"SORENSEN,MARK V"
ANTH,901,001,9127,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"BUCHBINDER,MARA HELENE"
ANTH,901,002,3985,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"STEPONAITIS,VINCAS P"
ANTH,901,003,11614,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,901,036,9211,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"HINSON,GLENN D"
ANTH,901,042,3986,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"BILLMAN,BRIAN R"
ANTH,901,047,3987,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"WIENER,MARGARET J"
ANTH,901,056,3988,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"SLOCUM,KARLA"
ANTH,901,058,6740,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"LAMBERT,VALERIE L"
ANTH,901,064,3989,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"NELSON,CHRISTOPHER T"
ANTH,901,067,3990,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"SORENSEN,MARK V"
ANTH,901,073,3991,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"RIVKIN-FISH,MICHELE R"
ANTH,901,075,3992,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"MCANANY,PATRICIA A"
ANTH,901,076,5957,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"COLLOREDO-MANSFELD,RUDOLF J"
ANTH,901,078,6571,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"THOMPSON,AMANDA LOGAN"
ANTH,901,079,6528,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"AGBE-DAVIES,ANNA SOPHIA"
ANTH,901,081,7666,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"WEST,COLIN THOR"
ANTH,901,082,6872,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"CHUA,JOCELYN LIM"
ANTH,901,083,8808,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"MIDDLETON,CHRISTOPHER TOWNSEND"
ANTH,901,084,7997,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"Stuesse,Angela Christine"
ANTH,901,086,8030,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"ARBUCKLE,BENJAMIN S"
ANTH,901,087,7655,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"BABB,FLORENCE"
ANTH,901,089,9268,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"O'Parks,Caela Brighid Casey"
